Curve,Frame
13.685352,36.325728
13.687575,36.44592
13.700691,37.157184
13.702958,37.280832
13.705178,37.402272
13.707304,37.518912
13.709488,37.639104
13.719015,38.16864
13.721158,38.289216
13.723229,38.406336
13.725335,38.526048
13.727436,38.646144
13.729457,38.7624
13.731532,38.882496
13.733593,39.002688
13.73558,39.119328
13.73756,39.236448
13.739554,39.3552
13.741495,39.471936
13.743455,39.590784
13.745405,39.710016
13.751903,40.116288
13.75378,40.23648
13.755575,40.352736
13.757361,40.46976
13.760901,40.706112
13.764384,40.945152
13.770923,41.4144
13.772524,41.534112
13.774096,41.653824
13.775595,41.769984
13.782085,42.301728
13.78346,42.42144
13.784769,42.53808
13.786078,42.657792
13.787353,42.777504
13.788562,42.894144
13.789765,43.013472
13.790948,43.134432
13.792054,43.251168
13.793152,43.37088
13.794217,43.490976
13.795223,43.60848
13.796184,43.72512
13.797132,43.844832
13.800339,44.294016
13.801074,44.409792
13.802467,44.648352
13.803088,44.764992
13.803685,44.885184
13.804754,45.125856
13.805206,45.241632
13.80563,45.361344
13.806011,45.481056
13.806339,45.597312
13.806635,45.717408
13.806888,45.839328
13.807088,45.955968
13.807424,46.2912
13.807458,46.407456
13.807457,46.481184
13.807448,46.528512
13.807421,46.597824
13.807392,46.64688
13.807339,46.716192
13.807295,46.762656
13.807212,46.835904
13.807042,46.953408
13.806957,47.003424
13.806829,47.070528
13.806727,47.119584
13.806567,47.189856
13.806447,47.238432
13.806264,47.30736
13.806122,47.35728
13.805919,47.424
13.805761,47.473056
13.805517,47.544576
13.80535,47.59104
13.805084,47.661216
13.804882,47.712096
13.804388,47.828256
13.804063,47.899776
13.803498,48.016416
13.802294,48.239808
13.801565,48.362592
13.80118,48.424512
13.800809,48.482304
13.800388,48.545952
13.800031,48.59856
13.799557,48.666528
13.799186,48.718272
13.798702,48.784032
13.79829,48.838848
13.797795,48.90288
13.79739,48.954144
13.796837,49.022592
13.796409,49.074336
13.795861,49.139328
13.795388,49.194048
13.794827,49.257696
13.794355,49.310208
13.793739,49.377408
13.793285,49.425984
13.792637,49.494048
13.79214,49.545312
13.791455,49.614624
13.79098,49.661952
13.790235,49.734816
13.789747,49.781664
13.789014,49.850976
13.788463,49.90224
13.786394,50.088672
13.783784,50.312064
13.782327,50.431776
13.781514,50.497152
13.780874,50.548032
13.779996,50.616864
13.779374,50.665056
13.778479,50.733504
13.777789,50.785632
13.776925,50.85024
13.776225,50.901888
13.775293,50.969952
13.774595,51.020256
13.773654,51.087456
13.772921,51.139104
13.771979,51.20496
13.771244,51.255744
13.770224,51.325536
13.769499,51.374592
13.768491,51.442176
13.767706,51.494304
13.766725,51.558816
13.765931,51.61056
13.764884,51.678144
13.764083,51.729408
13.763051,51.794784
13.762194,51.84864
13.761165,51.912768
13.760315,51.96528
13.759226,52.032
13.757283,52.149504
13.753424,52.377792
13.751355,52.497504
13.749294,52.615008
13.747229,52.731168
13.745074,52.85088
13.742955,52.967136
13.740786,53.08464
13.738848,53.188512
13.738559,53.203968
13.736574,53.309088
13.736365,53.320128
13.734359,53.425344
13.734097,53.438976
13.732104,53.542368
13.731788,53.558688
13.729758,53.662944
13.729524,53.674944
13.727458,53.780064
13.727144,53.795904
13.724742,53.91696
13.722743,54.016896
13.722407,54.0336
13.720391,54.133536
13.715524,54.372096
13.713136,54.487872
13.711411,54.571008
13.710686,54.605856
13.708886,54.692064
13.708165,54.726432
13.706446,54.808224
13.705712,54.843072
13.703983,54.924864
13.701451,55.044192
13.698933,55.162176
13.697007,55.252032
