Phase,Mag,MagErr,Curve,
0.130229,13.631468,0.007,13.633335,
0.130468,13.62297,0.005,13.632883,
0.130766,13.635847,0.005,13.632319,
0.131454,13.629461,0.007,13.631022,
0.131724,13.630963,0.005,13.630513,
0.13199,13.631839,0.005,13.630013,
0.132669,13.631455,0.007,13.628742,
0.13298,13.629956,0.005,13.628159,
0.133246,13.631832,0.005,13.627663,
0.13392,13.631448,0.007,13.626409,
0.134195,13.620949,0.005,13.625898,
0.134507,13.626825,0.005,13.625321,
0.135145,13.624441,0.007,13.624143,
0.13542,13.630943,0.005,13.623637,
0.135718,13.620817,0.005,13.623089,
0.136373,13.608435,0.007,13.621887,
0.136676,13.625936,0.005,13.621334,
0.136942,13.61581,0.005,13.620848,
0.137648,13.613428,0.007,13.619565,
0.137891,13.633929,0.005,13.619124,
0.13818,13.618803,0.005,13.618601,
0.13889,13.604421,0.007,13.617319,
0.139106,13.621922,0.005,13.616931,
0.1394,13.616796,0.005,13.616405,
0.140105,13.604414,0.007,13.615142,
0.140362,13.614915,0.005,13.614684,
0.140633,13.612789,0.005,13.614202,
0.141348,13.604408,0.007,13.612935,
0.141577,13.610909,0.005,13.612529,
0.141875,13.606781,0.005,13.612004,
0.142599,13.598401,0.007,13.610732,
0.1431,13.597774,0.005,13.609857,
0.144319,13.610767,0.005,13.607738,
0.145571,13.62176,0.005,13.605585,
0.146846,13.595378,0.007,13.603415,
0.148102,13.590371,0.007,13.601299,
0.149349,13.586364,0.007,13.599222,
0.149853,13.605735,0.005,13.598387,
0.150555,13.584358,0.007,13.597234,
0.1511,13.600727,0.005,13.596343,
0.151797,13.600351,0.007,13.59521,
0.152311,13.60672,0.005,13.59438,
0.152354,13.607849,0.005,13.59431,
0.153012,13.597344,0.007,13.593253,
0.153526,13.602713,0.005,13.592433,
0.153601,13.591842,0.005,13.592313,
0.154241,13.591338,0.007,13.591298,
0.154764,13.591706,0.005,13.590474,
0.154816,13.600835,0.005,13.590391,
0.155493,13.579331,0.007,13.589332,
0.155979,13.590699,0.005,13.588574,
0.156032,13.586829,0.005,13.588493,
0.156699,13.582324,0.007,13.587461,
0.157203,13.593691,0.005,13.586685,
0.157283,13.577822,0.005,13.586562,
0.157914,13.582318,0.007,13.585599,
0.158455,13.587684,0.005,13.584779,
0.158494,13.587815,0.005,13.58472,
0.159161,13.572311,0.007,13.583715,
0.15967,13.581677,0.005,13.582953,
0.159723,13.588808,0.005,13.582875,
0.160385,13.566304,0.007,13.581891,
0.160917,13.58567,0.005,13.581106,
0.160983,13.578801,0.005,13.581009,
0.161605,13.578298,0.007,13.580099,
0.162169,13.581662,0.005,13.579279,
0.162194,13.568794,0.005,13.579242,
